date,district,temperature,precipitation,num_vehicles,num_pedestrians,day_of_week,is_weekend,month,traffic_volume,avg_speed
2023-04-13,서초구,-1.9717927001463553,23.41941169172429,8230,683,3,0,4,6528,49.44
2023-12-15,강서구,12.788840355262973,1.5726057121486874,5362,884,4,0,12,6287,48.74
2023-09-28,마포구,13.50823348051402,7.186694404400576,7176,700,3,0,9,9597,45.3
2023-04-17,강서구,22.65051693563082,0.30590731879657634,2832,119,0,0,4,3450,50.2
2023-03-13,강남구,5.4616579278926185,3.150568933488583,7183,414,0,0,3,7867,46.86
2023-07-08,강서구,9.662418582732558,0.30092741706893017,7879,572,5,1,7,10161,45.07
2023-01-21,마포구,5.754084660552408,3.22940930910115,7410,240,5,1,1,8912,46.35
2023-04-13,강남구,12.819500262799238,0.13969574610787386,3000,988,3,0,4,3849,53.6
2023-05-02,종로구,-4.929939621578243,4.7504627980074945,9858,432,1,0,5,8826,46.76
2023-08-03,강남구,6.957991253755965,4.415598859823086,2684,786,3,0,8,3095,53.98
2023-11-27,서초구,21.2971621296137,7.993558785091761,6617,149,0,0,11,7008,54.12
2023-03-29,강남구,2.7455534367454515,4.376778145170601,7782,705,2,0,3,8542,56.04
2023-04-10,종로구,24.995058957996843,13.018394331309711,4076,560,0,0,4,4880,42.98
2023-12-26,강서구,23.73361731628267,7.641700670970932,6116,779,1,0,12,7412,45.14
2023-06-01,강남구,24.570234238388586,0.7116010516224733,9637,490,3,0,6,10107,33.8
2023-05-11,강남구,14.954768594915645,1.5426439035356272,5383,154,3,0,5,6843,51.15
2023-05-30,강남구,14.055998024557985,0.1329037836307646,9024,150,1,0,5,10158,51.08
2023-11-05,강남구,18.196092951913286,2.4398930912875807,6786,589,6,1,11,8152,47.58
2023-09-15,종로구,28.202668600329233,3.5620195728632926,4751,431,4,0,9,4189,53.11
2023-12-10,마포구,27.292771098600664,14.588881672841012,8785,997,6,1,12,9394,42.74
2023-10-21,마포구,-1.6223527198109289,3.6935209241006435,7095,369,5,1,10,7714,48.49
2023-07-11,강남구,6.256952859304108,7.594058013828664,9031,461,1,0,7,8835,45.86
2023-10-04,종로구,4.460603768106695,1.560037848237771,2545,244,2,0,10,3541,58.97
2023-06-10,종로구,22.267729782861863,0.8312082940180471,5831,688,5,1,6,8394,56.93
2023-11-10,강남구,8.207147530355138,8.325711285714785,9305,228,4,0,11,9549,53.25
2023-01-22,서초구,12.9660932713327,1.4212740636055705,9963,474,6,1,1,12667,54.02
2023-09-10,강남구,32.07948549556106,10.252720330958647,6515,604,6,1,9,7209,51.45
2023-08-24,서초구,26.208809822967737,0.9307436094334774,2012,722,3,0,8,1554,58.7
2023-12-11,강남구,28.761989424549455,9.538766291965123,8396,100,0,0,12,7175,48.15
2023-02-18,서초구,7.83045960780043,7.4106701670410144,8954,466,5,1,2,10506,46.37
2023-02-28,서초구,-12.714191585648598,4.723716897337237,8534,637,1,0,2,7328,49.72
2023-06-19,강남구,11.04475298385957,9.492961268129651,5203,727,0,0,6,5228,57.53
2023-07-07,서초구,0.6005115647119452,2.007690030504543,5377,594,4,0,7,5614,49.46
2023-09-28,강서구,-4.440494296292465,0.9078140975318407,3668,273,3,0,9,4314,47.07
2023-07-09,마포구,26.286728269732688,0.8541828628241994,7533,624,6,1,7,9079,45.81
2023-06-24,종로구,6.081512872722863,1.5760126425335284,4241,133,5,1,6,5534,45.85
2023-02-20,서초구,6.934376002147045,2.9550033109330816,1877,417,0,0,2,2059,55.02
2023-12-30,서초구,11.342361866837676,10.43829063098222,2198,843,5,1,12,3074,45.7
2023-02-24,종로구,31.464944790388408,0.46900268630886194,1453,684,4,0,2,1900,56.56
2023-09-01,서초구,13.38385739291839,12.33977833075387,5604,662,4,0,9,5812,45.65
2023-11-16,종로구,24.515895862295903,12.984425769853313,3143,310,3,0,11,3092,58.02
2023-05-11,강남구,11.846540926934807,6.495748793962798,7345,826,3,0,5,7824,45.52
2023-11-03,강서구,-0.8046188136352961,11.527126293542395,8204,652,4,0,11,8414,37.13
2023-05-15,강서구,3.1016394184010565,7.348089210436855,4058,410,0,0,5,3326,51.87
2023-01-21,마포구,14.962134336316366,3.757070674080138,3856,193,5,1,1,6027,49.34
2023-11-25,서초구,16.076355615030245,4.590840292572313,1440,288,5,1,11,3673,54.99
2023-06-16,마포구,20.42709931245376,4.947325191191697,1995,746,4,0,6,2343,58.24
2023-10-01,강남구,20.431248157000024,0.6784874330406205,3111,817,6,1,10,5352,46.7
2023-03-30,강서구,24.00162733444481,1.0724934893322966,5100,613,3,0,3,5698,46.42
2023-11-12,강남구,7.308479954466023,3.7050604651705603,7215,303,6,1,11,9134,45.76
2023-01-14,강남구,33.27218725720317,0.6121282389452348,4468,590,5,1,1,4827,53.03
2023-08-30,서초구,34.187575237166435,16.75907925422385,7473,852,2,0,8,6581,51.37
2023-09-22,강남구,9.79464328516449,3.5375215485013722,6266,869,4,0,9,7042,53.15
2023-12-12,강서구,7.060807176829952,2.390873769216886,7492,767,1,0,12,8369,38.38
2023-02-22,마포구,-2.848096520566621,0.8571457012435604,5460,153,2,0,2,3960,57.72
2023-12-06,강서구,16.708891271568383,2.6938446115118526,9714,575,2,0,12,10272,48.83
2023-04-02,서초구,19.524370386909432,1.8007347289270446,9897,193,6,1,4,12047,47.41
2023-09-21,강서구,9.20673188112789,0.4601771797900871,2759,413,3,0,9,4448,50.98
2023-02-04,종로구,17.827645665475828,17.057040960746225,1249,672,5,1,2,2964,55.79
2023-07-25,마포구,1.121864892052975,1.5392748945970005,5996,459,1,0,7,6278,51.88
2023-03-22,종로구,24.676737752082047,5.8635052164201475,5344,267,2,0,3,5277,49.92
2023-02-19,종로구,9.690221359548532,0.4788251762002046,7591,885,6,1,2,9629,50.13
2023-12-26,서초구,17.887596535520686,12.218958428159796,8708,497,1,0,12,9415,39.69
2023-01-02,강남구,17.101570470599537,4.467163048085144,7482,636,0,0,1,9202,49.43
2023-02-23,종로구,-4.604418253683429,5.348258623423746,7238,493,3,0,2,6132,52.09
2023-04-16,강서구,23.340324662727685,7.611357669284089,9450,455,6,1,4,10648,51.97
2023-09-17,강남구,7.155566669343608,4.6559474545351565,8096,147,6,1,9,10539,54.17
2023-11-06,강서구,17.02504676602295,0.36773465467452476,1904,531,0,0,11,2830,53.78
2023-07-10,강서구,0.9011961541667368,2.806932981238332,6042,800,0,0,7,6316,57.05
2023-08-06,강남구,10.206228122585896,1.5192611604226678,8895,152,6,1,8,10157,46.36
2023-02-13,강남구,18.632488669309545,3.3346398464500115,8456,340,0,0,2,9109,47.59
2023-06-11,강서구,4.206972126722586,2.590301670437772,3139,494,6,1,6,4629,53.79
2023-07-21,서초구,4.754738564246914,8.758842878089329,6143,126,4,0,7,5985,43.13
2023-09-27,마포구,16.250681142604854,1.418766017606459,4178,158,2,0,9,5212,56.61
2023-12-17,마포구,13.324855452125899,1.1238559965613462,5147,285,6,1,12,7218,41.23
2023-10-31,서초구,18.493046150328123,15.860712139901674,5389,240,1,0,10,5616,52.87
2023-09-28,강남구,11.321926783854064,14.9305549236688,3347,156,3,0,9,3146,41.67
2023-08-03,강서구,21.414985785288614,25.15288781767454,6501,806,3,0,8,6579,47.92
2023-09-09,마포구,9.330445757121943,4.201055250966337,2591,549,5,1,9,4329,52.23
2023-07-09,강서구,20.970645857540593,0.6003630519800608,3241,977,6,1,7,4840,54.69
2023-10-23,서초구,5.93218215730275,10.608311767828646,4628,205,0,0,10,4274,59.62
2023-08-01,강서구,8.890090447823054,0.7839415180054499,1750,379,1,0,8,2009,55.81
2023-07-27,서초구,22.306709060632258,0.8456112175044433,8911,567,3,0,7,10317,38.46
2023-08-25,강남구,9.85619398509123,1.07462190392533,9430,532,4,0,8,9906,42.85
2023-12-04,서초구,3.2876966302804234,5.298191232463056,7535,779,0,0,12,7215,49.35
2023-02-22,서초구,32.30115873371185,0.566958134511925,3695,946,2,0,2,3178,54.92
2023-10-07,마포구,14.648666653818399,7.531736508075233,7156,857,5,1,10,7864,38.67
2023-08-05,강서구,19.714520771879805,0.3000856354208197,5636,439,5,1,8,8687,43.84
2023-09-09,마포구,-7.620802968778753,0.5851784787011811,3304,825,5,1,9,3711,50.6
2023-07-07,종로구,28.31808579541239,2.8501112284712127,1107,613,4,0,7,887,57.23
